Quan Huyen,So CS CN,So lon,Trung binh
Son Tay,13,11015,847.3076923
Ba Vi,32,52742,1648.1875
Phuc Tho,8,10150,1268.75
Thach That,32,41200,1287.5
Quoc Oai,7,6750,964.2857143
Dan Phuong,12,3506,292.1666667
Hoai Duc,1,924,924
Chuong My,84,103930,1237.261905
Thanh Oai,2,4273,2136.5
Thuong Tin,1,1500,1500
Ung Hoa,7,29479,4211.285714
Phu Xuyen,6,10616,1769.333333
My Duc,13,13339,1026.076923
Soc Son,6,7439,1239.833333
Dong Anh,0,0,0
Gia Lam,1,850,850
Thanh Tri,0,0,0
Me Linh,1,2000,2000
Ha Dong,0,0,0
Nam Tu Liem,0,0,0
Bac Tu Liem,0,0,0
Long Bien,0,0,0
Hoang Mai,0,0,0
Tay Ho,0,0,0
Cau Giay,0,0,0
Ba Dinh,0,0,0
Thanh Xuan,0,0,0
Dong Da,0,0,0
Hoan Kiem,0,0,0
Hai Ba Trung,0,0,0
